200 32344
141 19 1
153 85 2
115 27 3
14 59 3
81 52 3
121 141 3
156 173 1
33 115 2
109 128 3
142 112 3
132 38 2
45 44 3
82 112 2
63 46 2
151 6 3
126 93 1
121 107 2
12 23 3
160 61 3
46 2 2
193 139 3
3 128 3
190 111 2
7 109 3
133 106 3
20 141 2
137 73 3
103 3 2
139 32 3
49 23 3
165 80 2
97 190 2
44 95 3
130 27 2
89 31 3
41 154 3
119 28 3
74 170 2
160 13 3
29 15 2
155 194 2
194 50 3
150 46 3
86 124 2
66 186 3
162 142 1
172 7 2
196 163 3
143 192 3
183 104 2
192 34 3
75 176 1
150 7 2
71 172 3
125 82 3
90 77 2
156 100 3
189 24 1
118 100 3
131 54 3
91 198 1
197 80 2
56 130 3
78 13 2
134 190 2
163 57 3
143 179 2
146 74 3
129 34 3
40 47 1
35 179 2
131 101 3
106 104 2
176 194 2
120 102 3
56 39 1
68 45 2
150 131 3
169 43 1
153 132 2
110 193 3
2 174 3
103 21 2
54 111 3
171 161 3
29 79 2
199 105 3
23 177 3
170 39 2
101 75 3
160 87 1
164 95 2
2 50 3
44 178 1
128 183 2
150 132 3
151 71 1
183 73 2
13 63 3
161 135 1
50 82 2
179 133 3
17 145 2
82 200 2
189 106 3
37 183 1
58 91 2
11 104 3
97 79 1
113 110 2
95 176 3
18 105 3
55 109 3
135 106 3
39 150 2
32 80 3
176 49 3
80 145 1
92 105 2
174 99 3
95 8 3
163 154 2
66 71 3
90 104 1
151 12 2
49 79 3
85 99 1
185 13 3
183 103 3
134 36 1
121 176 3
43 73 3
167 196 2
28 176 2
114 95 3
114 51 3
81 176 2
153 34 3
104 190 1
67 135 2
66 65 3
57 107 3
114 165 3
28 127 3
61 81 3
28 32 2
153 90 3
123 46 3
96 153 3
1 58 3
66 54 1
80 154 2
115 198 3
58 92 1
161 181 2
117 140 3
160 78 1
126 182 2
180 163 3
6 179 1
153 176 2
90 86 3
8 184 3
136 44 2
149 3 3
146 29 1
128 163 2
108 2 3
12 95 1
199 7 2
163 150 3
158 61 3
47 60 3
180 90 3
161 131 3
78 158 3
30 153 3
171 163 3
11 137 2
194 37 3
170 4 3
21 161 2
34 189 3
13 2 1
58 179 3
78 18 3
1 142 1
98 200 2
192 124 3
79 121 2
163 160 2
20 153 3
176 61 3
194 167 3
116 169 3
58 16 1
15 121 3
177 42 3
33 164 3
172 135 3
106 40 3
33 69 1
46 14 2
173 56 3
124 167 3
84 149 2
46 87 3
194 78 1
94 112 2
102 108 3
169 94 1
163 174 2
155 175 3
98 87 1
87 102 2
76 26 3
51 199 3
191 123 2
152 71 3
99 180 3
24 45 2
141 113 3
87 116 2
54 104 2
111 76 3
51 102 2
119 86 2
91 173 3
1 165 1
127 69 2
4 136 3
27 187 2
113 115 2
41 9 3
66 199 1
146 113 2
18 190 3
77 36 1
10 80 3
189 109 3
118 180 3
162 12 2
121 154 3
61 79 2
158 81 2
91 100 3
71 68 2
187 169 2
134 13 3
38 41 1
70 36 2
137 144 3
171 3 1
3 117 3
105 85 3
182 167 2
77 107 2
156 98 3
163 34 1
135 122 2
90 82 3
49 131 2
33 117 2
48 50 3
144 164 1
174 192 2
144 20 3
68 135 1
61 198 2
178 33 3
9 95 1
107 158 2
154 183 3
154 114 1
69 98 2
99 166 3
157 78 1
148 163 2
118 58 3
130 124 3
3 29 2
25 159 3
167 127 2
190 165 2
89 12 3
113 3 1
70 110 2
175 125 3
151 107 3
91 9 3
109 191 3
13 73 2
35 188 2
9 86 3
52 12 3
120 100 2
81 118 3
189 193 2
80 156 2
53 14 3
99 46 1
150 45 3
186 74 3
157 92 1
185 120 2
13 8 3
118 55 3
4 93 2
176 6 3
161 78 1
97 176 2
185 200 3
73 132 3
40 128 2
187 140 3
114 23 1
22 14 2
42 10 3
18 195 1
93 194 3
55 130 3
76 25 2
81 13 2
124 33 3
54 106 1
90 19 2
148 48 3
113 180 2
63 79 3
124 111 3
77 169 2
179 45 2
194 69 3
59 143 3
179 189 2
62 153 3
7 102 2
160 112 3
124 4 3
125 197 1
116 91 3
89 8 3
185 78 1
21 95 2
193 176 3
149 197 3
27 38 2
184 148 3
43 16 1
141 188 2
65 174 3
130 173 1
186 122 2
142 129 3
11 36 1
153 145 2
142 20 3
10 67 3
16 80 3
193 141 3
44 86 3
38 100 3
120 51 3
191 42 1
68 128 2
195 7 3
146 156 3
126 105 2
160 100 3
110 66 1
6 194 3
101 192 3
60 129 2
56 172 2
116 132 3
130 51 3
189 163 3
52 2 3
109 178 1
108 57 2
54 90 3
87 149 1
10 12 2
88 155 3
167 39 2
87 17 3
182 92 3
137 133 1
106 35 3
169 122 3
53 93 1
3 163 3
98 175 3
64 47 3
198 135 2
111 81 3
22 178 1
128 90 2
151 168 3
106 83 1
135 5 2
46 117 3
173 87 1
10 37 2
194 162 3
118 187 3
35 64 2
158 10 3
149 76 2
8 101 2
170 81 3
159 38 1
46 6 3
102 4 3
173 95 3
39 60 2
150 111 3
146 83 3
114 40 2
189 120 3
187 132 2
87 2 2
141 51 3
67 181 2
121 79 2
88 168 3
185 70 1
26 136 2
199 95 3
120 192 1
182 162 2
95 117 3
122 98 3
122 13 3
83 123 3
109 101 2
197 58 2
7 38 3
23 155 1
18 166 2
199 52 3
10 191 2
53 8 2
53 109 3
18 153 3
123 55 2
55 26 3
180 174 2
173 30 2
189 71 3
140 130 1
182 140 2
117 136 3
94 64 3
110 134 3
196 90 3
86 37 1
87 94 3
198 137 3
82 163 1
9 171 2
67 21 3
83 168 3
16 55 2
6 188 3
183 192 1
12 191 2
147 52 3
58 29 1
8 121 2
193 60 3
35 135 2
42 85 2
39 77 3
168 145 3
170 200 2
36 5 3
20 198 1
26 131 3
122 118 3
52 182 1
20 14 2
123 185 3
93 114 1
110 57 2
8 34 3
39 95 1
139 79 2
196 155 3
51 96 3
177 95 3
79 165 3
144 58 3
9 65 2
192 146 3
55 126 1
91 68 3
190 4 3
28 20 1
163 175 2
121 170 3
31 73 3
194 81 3
199 161 3
144 15 1
27 129 2
22 69 3
100 36 2
70 81 2
188 86 3
184 109 1
71 18 3
123 144 3
192 82 2
189 41 2
82 78 3
119 32 1
43 200 2
29 71 3
169 168 1
168 29 2
128 3 3
165 108 1
44 23 2
126 16 3
30 166 3
36 73 2
49 184 3
59 17 1
187 51 3
93 118 3
88 110 1
27 85 2
63 109 3
117 7 2
72 110 2
137 177 3
120 110 1
186 194 2
187 78 3
123 139 1
178 19 3
154 91 3
4 78 3
22 92 2
73 198 3
19 20 2
100 165 3
150 22 3
92 180 3
45 136 2
88 154 3
169 88 2
36 30 2
109 39 3
108 51 2
38 59 2
39 187 3
133 197 3
20 92 3
64 28 3
35 19 3
103 183 3
30 121 3
2 53 1
171 159 2
15 185 3
5 186 2
32 143 3
162 19 3
84 46 1
111 195 3
92 124 3
179 101 3
126 140 2
32 29 3
160 21 2
29 192 2
10 124 3
168 28 3
97 47 3
152 19 3
5 3 1
144 146 3
182 56 3
122 5 3
89 69 2
130 168 3
196 18 1
153 180 2
34 139 3
92 182 3
153 120 2
142 27 3
120 40 1
144 184 2
18 99 3
120 144 2
199 172 3
13 26 3
163 63 2
65 153 2
31 169 3
135 183 1
133 136 3
97 141 3
157 5 3
68 12 2
45 198 3
191 46 3
13 146 2
118 196 3
122 99 1
126 38 2
46 182 3
27 79 1
169 162 3
177 188 3
165 63 2
178 67 2
178 184 3
60 125 1
64 35 2
96 122 3
119 6 1
144 187 2
45 194 3
177 68 1
10 164 2
64 30 3
197 184 2
22 38 2
100 118 3
29 195 3
132 34 2
25 12 3
149 194 1
185 147 2
157 180 3
149 85 1
181 177 2
22 175 3
4 196 1
135 44 2
11 49 3
98 53 2
55 85 2
135 54 3
197 107 1
10 187 2
173 135 3
162 136 2
184 91 2
151 54 3
19 46 1
17 176 2
182 158 3
176 197 2
36 155 2
22 52 3
103 88 1
195 184 2
37 54 3
123 82 1
97 54 2
88 146 3
66 144 3
151 173 2
49 141 3
98 34 1
86 31 2
34 115 3
26 56 1
85 51 2
184 110 3
5 154 2
197 172 3
83 194 3
110 33 3
93 64 2
56 27 3
8 164 1
191 10 2
67 113 3
72 176 2
145 84 2
54 156 3
61 115 1
87 14 3
12 170 3
176 165 1
61 145 2
84 117 3
59 44 2
62 64 3
111 4 3
25 105 2
95 107 3
142 97 3
84 60 2
171 90 3
40 9 3
39 98 1
133 18 2
118 200 3
92 69 3
51 128 3
17 2 3
119 47 2
178 144 3
112 160 3
14 2 2
80 59 3
195 181 3
46 91 3
85 65 2
139 26 3
16 133 1
98 195 2
116 7 3
8 97 1
53 86 2
101 67 3
94 79 1
47 11 3
123 25 3
18 58 1
4 153 3
162 52 3
112 38 3
26 108 2
170 167 3
193 45 2
139 186 2
187 167 3
124 69 1
118 138 2
19 58 3
168 139 3
42 148 3
67 141 3
195 106 1
13 45 2
190 147 3
81 199 3
69 14 3
153 104 3
65 139 2
4 102 3
9 134 3
65 136 1
32 153 2
129 39 3
146 39 2
183 132 2
17 28 3
143 40 2
118 151 3
149 169 3
145 8 1
73 112 3
136 82 3
88 200 1
3 130 3
147 11 3
173 151 2
109 129 2
5 132 3
185 15 3
58 188 2
106 200 3
147 41 2
72 76 2
195 136 3
126 185 1
6 128 3
160 8 3
157 62 2
64 38 3
154 14 3
72 104 1
9 112 2
46 74 3
69 166 3
111 200 2
55 150 3
103 12 1
8 198 2
23 123 3
65 114 3
114 2 2
178 129 3
175 101 3
116 142 2
96 169 3
75 83 1
176 104 3
130 198 3
117 191 1
66 147 2
1 98 3
189 146 3
2 126 2
95 82 3
72 134 1
129 82 2
76 52 3
138 96 1
53 33 2
31 26 3
47 52 1
105 155 2
113 62 3
60 92 1
121 192 2
171 126 3
27 106 3
191 177 3
57 85 3
192 32 1
170 31 2
177 158 3
83 98 1
40 163 3
54 10 3
79 57 1
23 31 2
83 170 3
64 146 3
89 132 2
184 48 3
125 63 1
184 163 2
126 97 3
119 148 3
18 118 3
107 52 3
126 20 2
32 68 2
35 122 3
57 55 1
144 56 2
79 66 3
7 193 2
126 156 2
156 127 3
160 54 3
104 200 2
29 126 3
13 50 2
27 137 2
145 95 3
82 91 3
195 133 2
178 150 3
63 150 1
183 90 3
159 104 3
134 92 2
75 183 2
155 47 3
110 114 3
139 53 2
72 38 3
166 120 2
104 196 2
21 190 3
92 196 2
19 160 2
75 95 3
95 3 1
156 185 2
19 64 3
128 197 1
61 108 2
48 117 3
198 133 2
162 70 2
3 87 3
151 119 2
122 170 3
130 135 3
194 82 1
179 51 3
169 13 3
6 21 3
31 171 2
163 166 3
161 64 1
117 63 2
71 23 3
3 69 3
190 72 2
94 184 3
168 84 1
172 173 2
24 39 3
39 114 2
151 77 2
88 98 3
113 32 1
38 73 2
39 122 3
85 92 1
163 121 2
157 151 3
87 86 2
67 90 2
44 22 3
108 128 2
197 160 2
44 187 3
158 127 3
29 50 2
49 28 3
175 73 2
138 145 2
7 103 3
96 59 1
156 53 2
17 71 3
65 128 2
172 109 2
153 66 3
85 127 2
124 61 2
99 45 3
57 121 1
151 197 3
153 173 3
132 45 1
83 165 2
89 20 3
183 158 3
81 26 2
105 166 3
101 64 1
178 66 2
3 108 3
90 52 1
138 113 2
49 53 3
106 80 1
35 105 2
9 72 3
144 188 2
83 129 3
94 196 3
119 39 1
148 113 2
34 137 3
34 72 1
138 86 2
53 134 3
90 170 1
185 127 3
56 70 3
164 27 1
81 75 2
85 90 3
103 30 1
79 20 3
115 142 3
182 165 1
5 46 2
82 175 3
63 5 1
66 157 2
14 18 3
121 19 3
185 48 2
135 83 3
19 149 3
113 188 2
189 167 3
122 200 1
149 167 2
82 152 3
77 122 2
170 11 2
106 150 3
100 107 3
100 66 2
23 43 3
18 14 3
32 147 3
149 60 3
130 34 1
92 144 3
67 122 3
27 184 3
39 42 3
139 21 3
82 162 3
162 10 2
27 155 3
103 85 3
122 46 2
93 129 3
25 119 1
144 145 3
96 92 3
75 138 3
185 124 3
44 113 3
76 163 2
18 46 3
129 102 3
26 152 2
144 115 2
199 143 3
155 152 1
134 78 2
60 98 3
181 192 1
185 83 2
14 69 3
44 9 1
30 45 3
84 9 3
68 52 1
108 194 2
22 35 3
16 100 2
50 55 2
186 66 3
63 35 1
183 83 3
47 4 3
39 151 1
25 76 2
196 120 3
32 96 1
193 104 2
9 140 3
132 59 1
148 36 2
188 11 3
144 130 2
178 11 2
77 141 3
5 95 2
122 155 2
158 97 3
128 112 1
120 76 2
62 146 3
39 136 1
115 187 2
101 14 3
34 21 1
12 198 2
140 63 3
74 97 2
151 51 2
40 20 3
11 61 1
105 189 2
62 17 3
69 47 2
173 32 3
171 121 3
12 8 1
42 146 2
105 11 3
58 127 1
18 159 2
113 90 3
139 94 1
22 21 2
60 13 3
190 45 2
25 139 2
77 109 3
80 106 1
83 60 3
6 99 3
122 93 1
158 119 3
92 30 3
129 92 1
164 48 2
67 117 3
79 150 2
7 132 2
75 108 3
37 47 3
15 25 3
184 122 3
130 13 2
50 157 2
129 28 3
72 195 1
139 147 3
149 108 3
116 72 2
131 15 2
113 89 3
61 109 2
148 22 2
154 171 3
64 100 1
