500 214600
234 149 2
112 447 3
44 426 1
139 15 2
477 317 3
69 447 2
239 399 3
90 421 3
308 75 3
359 10 3
313 353 3
293 60 1
233 240 2
1 176 3
473 345 1
247 229 2
179 27 3
170 243 2
496 199 2
387 108 3
300 89 3
109 490 2
308 14 3
231 352 3
59 407 3
375 464 3
440 395 1
175 484 2
91 378 3
424 368 3
80 43 2
83 232 3
136 202 1
488 64 3
309 195 3
128 394 3
325 170 2
214 383 3
387 424 1
295 164 3
118 71 3
479 323 1
298 140 3
10 230 3
133 115 3
132 349 2
469 479 3
391 30 2
489 455 2
139 479 3
186 283 1
196 324 2
279 387 3
23 42 1
350 230 3
420 500 3
319 67 3
28 80 2
131 407 3
375 150 3
451 140 2
351 109 3
245 463 2
100 275 2
177 252 3
443 329 3
271 14 2
132 484 3
298 484 1
474 434 2
245 221 3
25 425 1
187 450 3
261 363 3
136 19 1
435 38 3
169 452 3
84 159 3
232 134 2
132 443 3
429 465 3
400 294 2
225 251 3
402 431 2
325 140 2
71 5 3
280 270 3
245 471 2
417 94 3
44 313 1
417 483 2
146 390 3
118 207 1
215 371 2
404 321 3
232 14 1
262 311 2
176 148 3
4 204 1
323 204 2
493 87 3
86 193 3
227 233 2
430 330 3
93 59 2
440 267 3
104 277 3
476 17 1
81 347 2
39 100 3
436 433 1
158 86 2
35 59 3
341 414 3
5 101 2
411 205 3
67 383 1
414 138 3
381 288 3
117 402 1
30 87 2
340 307 3
428 457 2
456 160 2
115 298 3
205 356 1
460 112 3
461 47 3
25 358 2
121 275 2
499 198 3
15 471 3
436 175 3
369 439 3
299 57 1
497 176 2
39 249 3
351 91 3
491 349 3
357 314 3
54 225 3
156 386 2
62 342 3
396 242 2
213 169 3
446 206 3
452 280 3
457 34 2
51 428 3
332 448 3
64 478 2
76 387 3
161 286 3
158 200 2
319 457 3
226 452 1
433 173 2
312 37 3
422 152 1
245 91 2
277 222 3
409 151 1
453 69 2
73 304 3
411 401 1
447 475 2
310 265 3
104 353 1
458 23 3
64 423 3
369 399 3
142 178 2
304 164 3
17 424 2
128 311 2
152 383 3
207 179 1
291 37 2
462 137 3
285 300 1
155 177 2
71 499 3
246 387 1
3 316 2
419 415 3
279 136 1
456 331 3
421 176 3
215 23 3
403 208 2
209 137 3
240 486 1
485 165 2
149 213 3
225 280 1
317 242 2
236 262 3
357 9 3
351 94 2
182 224 3
139 393 1
363 389 2
62 414 3
70 322 3
478 384 2
390 245 3
273 229 1
475 79 2
356 494 3
269 224 2
109 98 3
448 228 3
207 182 2
428 63 3
352 321 3
188 315 1
204 161 2
389 237 3
43 253 3
358 24 3
281 422 3
305 121 1
299 174 2
87 141 3
49 478 1
146 462 3
321 367 3
62 421 1
41 76 2
376 407 3
252 63 1
398 141 2
9 188 3
116 266 2
33 111 3
318 370 3
177 12 1
302 99 3
4 251 3
474 251 1
412 427 3
351 283 3
393 81 2
207 317 3
353 411 3
290 370 1
110 496 2
249 361 3
495 63 2
24 253 2
420 448 3
363 287 3
166 307 2
88 452 3
131 361 3
39 186 2
334 215 3
72 403 1
477 298 2
14 115 3
336 354 1
280 464 2
167 351 3
98 401 3
268 269 2
106 326 3
316 274 3
220 462 2
430 294 3
191 55 3
54 203 2
183 245 3
25 430 1
386 194 3
128 121 3
31 19 2
471 46 2
475 393 3
203 297 3
50 84 2
208 378 3
179 426 1
364 185 2
354 224 3
351 165 3
446 338 3
166 34 3
123 370 3
430 444 3
51 273 3
340 386 3
242 69 2
264 317 3
19 126 3
34 261 2
51 14 3
126 27 3
152 34 3
208 437 3
59 115 3
342 341 2
272 397 3
479 85 3
283 238 2
494 94 3
163 326 1
11 462 2
114 57 3
127 32 2
37 89 2
251 50 3
37 309 3
269 254 3
71 11 3
235 151 2
437 275 2
297 142 3
339 491 2
346 398 2
30 155 3
460 139 1
168 181 2
27 349 3
340 47 2
278 71 2
47 16 3
456 261 1
269 380 2
393 215 3
270 300 3
298 325 3
157 235 3
348 230 2
270 195 2
2 336 3
482 492 1
468 115 3
216 116 3
123 379 1
465 61 2
52 73 3
82 240 3
441 107 3
112 257 3
362 28 1
181 495 2
488 470 3
387 56 2
448 151 2
370 310 3
240 56 1
185 166 3
18 439 3
389 46 1
431 4 3
490 271 3
454 291 3
51 369 2
130 164 3
228 146 2
439 238 3
357 109 3
366 260 1
38 211 3
48 456 3
52 64 1
383 104 3
395 369 3
96 131 3
4 456 3
431 77 3
326 236 2
45 47 3
141 57 3
102 26 1
299 470 2
461 110 3
108 356 1
471 114 3
475 65 3
293 184 3
255 4 2
86 44 3
172 247 1
204 57 2
219 348 3
412 493 2
78 244 2
467 12 3
193 46 2
62 12 3
279 291 3
460 240 3
299 397 2
317 243 3
456 453 1
151 372 3
203 379 3
480 468 2
284 268 3
28 42 3
235 226 2
410 145 2
55 489 3
231 187 3
429 259 3
70 159 3
341 327 3
379 459 3
240 154 3
148 408 1
103 72 2
290 155 3
44 471 2
475 30 3
331 230 3
317 480 2
178 336 2
159 472 3
333 273 1
205 71 3
380 51 3
236 316 1
24 288 2
59 114 3
259 446 3
463 409 2
121 312 3
491 419 1
56 371 2
368 233 3
470 15 1
374 325 2
99 61 3
150 477 2
177 89 2
213 263 3
361 114 1
237 107 2
260 188 3
6 312 2
459 251 2
497 111 3
382 245 2
28 273 2
237 437 3
151 149 1
353 137 3
336 82 3
497 422 2
201 35 2
429 151 3
56 376 2
177 28 2
404 23 3
289 132 1
216 357 2
232 253 3
155 143 2
249 434 2
253 9 3
302 196 1
433 315 3
202 323 3
63 74 3
364 111 2
181 64 3
46 136 3
213 44 2
401 447 3
170 155 1
101 196 3
211 11 3
142 263 3
469 476 3
195 385 3
1 440 1
243 443 2
114 101 3
241 100 3
211 282 3
322 36 3
237 112 1
64 33 3
131 486 3
86 43 3
160 161 3
302 234 3
225 213 3
118 75 2
112 116 3
317 9 2
39 44 3
293 271 3
472 384 2
456 424 2
285 422 3
195 468 3
343 338 2
352 45 3
393 164 1
452 322 2
250 227 3
186 173 1
249 238 3
453 457 3
391 123 2
351 405 2
110 152 3
130 144 3
1 319 2
378 250 3
296 386 1
360 181 3
407 172 3
2 492 1
133 309 2
481 91 3
442 109 3
135 104 2
192 187 3
468 292 3
205 237 2
67 213 3
399 381 2
317 52 2
292 27 3
22 226 3
314 113 2
433 112 3
267 348 3
230 404 2
444 155 3
90 110 2
49 369 3
467 175 3
493 101 1
205 81 2
17 364 3
173 87 3
454 453 2
497 448 3
25 339 2
490 446 2
387 359 3
470 228 3
197 341 2
297 275 3
59 267 1
474 252 2
74 294 3
473 303 1
359 199 3
492 118 3
239 9 2
257 140 2
132 85 3
157 39 1
52 299 2
105 389 3
110 132 3
488 296 3
388 450 3
18 400 2
392 130 2
389 472 3
167 485 1
49 59 2
101 29 3
33 266 1
394 459 3
299 440 3
450 56 3
463 430 2
1 60 3
34 205 3
411 321 2
327 437 3
425 331 3
294 2 2
394 291 3
203 483 3
183 354 3
63 120 3
429 37 3
366 30 3
114 404 3
67 270 3
159 346 2
193 184 3
458 308 2
382 77 2
462 111 3
482 18 1
159 200 2
9 224 3
31 88 1
430 201 2
212 222 3
44 274 3
218 254 2
21 220 3
214 499 2
399 80 2
181 287 3
249 74 1
462 355 3
19 349 3
432 31 1
7 174 2
194 148 3
224 151 3
150 337 2
401 54 3
320 444 1
43 293 2
199 393 3
414 394 1
138 184 2
23 85 3
230 6 2
112 380 2
482 32 3
144 330 1
73 84 2
320 322 3
476 35 3
346 188 2
10 481 3
442 231 1
463 469 2
424 101 3
368 92 1
116 132 3
105 391 3
361 291 3
199 306 2
177 467 3
166 79 3
145 373 3
260 15 3
218 296 1
204 162 3
356 122 3
443 82 3
310 355 2
208 473 3
267 76 2
177 428 3
421 335 3
466 422 2
97 346 2
98 313 3
95 65 2
421 93 2
298 165 3
396 264 3
384 2 2
33 495 3
359 58 2
291 476 2
334 466 3
358 8 3
493 92 3
285 408 3
171 115 3
279 362 3
316 413 3
379 153 1
282 312 2
390 169 3
240 320 3
198 253 2
311 90 3
220 346 2
437 497 2
82 24 3
31 287 2
4 500 2
75 378 3
462 454 1
57 240 2
397 481 3
363 288 2
350 500 2
362 449 3
238 148 1
464 251 3
346 457 3
118 140 1
443 460 2
430 369 3
198 424 1
465 21 3
460 121 3
161 336 3
70 29 2
287 78 3
443 430 3
312 41 2
335 174 3
355 409 1
117 170 2
490 273 3
360 367 1
291 71 3
325 55 3
346 374 3
105 466 3
184 324 3
96 34 3
376 301 2
413 54 3
132 432 1
73 102 2
411 312 3
488 8 1
260 241 2
237 320 3
445 173 1
261 345 2
107 494 3
224 129 3
68 399 3
253 489 3
115 330 1
318 342 2
203 214 3
259 32 3
336 474 3
447 497 3
113 228 1
462 242 2
371 273 3
260 118 2
332 258 2
472 470 3
354 287 1
475 165 2
153 350 3
146 423 1
136 13 2
360 335 3
300 122 1
319 418 2
180 262 3
192 164 3
227 432 2
218 399 3
350 144 1
411 407 2
381 294 3
111 89 2
409 192 3
190 362 3
174 168 1
171 416 2
329 443 3
443 278 1
475 224 2
418 228 3
70 146 1
33 464 3
397 447 3
369 198 2
283 305 2
344 252 3
436 185 2
273 487 2
82 182 3
476 6 1
363 472 2
351 386 3
75 401 2
175 238 2
73 383 3
280 170 3
190 351 2
253 329 3
145 8 1
490 228 2
151 406 3
309 184 3
197 58 2
48 57 3
86 165 1
243 227 2
189 348 3
281 434 1
436 182 2
375 377 3
219 198 2
18 55 2
456 358 3
341 22 2
200 341 2
307 420 3
233 439 3
417 136 3
447 488 3
485 121 2
380 366 2
185 278 3
253 233 1
241 217 2
489 345 3
303 336 2
167 318 2
136 496 3
39 460 1
232 479 3
494 220 3
399 332 1
68 415 2
33 386 3
246 239 3
307 293 3
78 141 3
115 292 3
195 440 2
160 140 3
463 416 3
383 297 2
194 70 3
19 492 2
439 423 2
365 303 3
359 144 1
218 50 2
256 442 3
64 143 2
408 293 3
423 403 3
342 407 1
185 269 3
170 13 3
468 290 1
190 45 2
417 142 3
280 389 2
408 108 3
97 30 3
5 100 2
54 219 2
35 351 3
21 188 3
473 159 3
80 431 3
381 31 1
157 292 2
47 99 3
233 256 2
465 326 2
494 226 3
116 332 3
405 325 3
400 128 3
364 74 1
343 5 2
320 223 3
163 432 1
191 249 2
272 36 3
235 288 2
295 365 2
97 425 3
234 388 1
14 300 2
84 46 3
430 455 3
151 432 3
464 440 3
259 413 1
274 65 2
193 312 3
257 485 1
347 81 2
37 353 3
76 333 1
114 328 2
122 422 3
40 349 2
7 498 2
441 326 3
174 203 1
348 247 2
334 87 3
499 13 2
196 241 3
303 67 3
455 148 2
439 187 3
295 10 3
374 428 1
144 218 2
487 28 3
315 397 3
78 333 2
238 149 3
339 39 3
401 419 3
219 104 3
90 54 1
365 147 2
54 383 3
96 359 3
456 316 2
472 79 3
281 483 2
328 83 3
470 390 3
362 131 3
114 178 2
110 10 3
241 43 2
134 428 2
371 247 3
471 347 1
252 145 2
320 293 3
229 141 1
232 458 2
224 219 3
434 95 2
378 293 2
493 334 3
179 383 1
103 491 2
1 211 3
4 281 1
162 107 2
433 257 3
59 10 1
14 453 3
359 234 3
458 202 2
361 495 3
471 339 3
240 469 1
285 88 2
352 298 3
352 161 2
44 78 2
88 500 3
327 182 3
385 338 3
488 480 3
462 114 2
395 400 2
405 117 3
302 429 1
499 297 2
336 367 3
449 84 2
312 267 2
191 70 3
305 464 1
315 331 3
174 441 3
241 20 1
60 436 3
312 436 3
335 160 2
492 124 2
368 172 3
65 84 2
295 296 3
229 146 3
451 253 2
44 292 2
302 256 3
465 438 2
474 334 3
199 208 3
340 12 1
78 472 2
153 251 3
201 169 3
20 327 3
333 89 3
190 77 1
366 387 3
153 282 3
413 20 1
